case_id,difficulty,scenario,expected_label,baseline_pred,optimized_pred,status,baseline_score,optimized_score,email_score,url_score
E2024,hard,sender_brand_domain_mismatch,phishing,phishing,phishing,both_correct,0.68,0.78,0.7502358555793762,0.12779648071861183
M2033,medium,shared_doc_clean_phish,phishing,phishing,phishing,both_correct,0.4832451739562985,0.78,0.7202109694480896,0.12779648071861183
M2042,hard,clean_shared_doc_phish,phishing,phishing,phishing,both_correct,0.92,1.0,0.8064078688621521,0.8030934002575785
E2017,hard,malicious_text_with_official_url,phishing,phishing,phishing,both_correct,0.67028186917305,0.74,0.8965874910354614,0.25
M008,medium,account_takeover_variant,phishing,phishing,phishing,both_correct,0.683553079709915,0.9173668630322402,0.6454152464866638,0.7407598295447917
M2052,hard,malicious_no_url_credential_lure,phishing,phishing,phishing,both_correct,0.4843670725822449,0.66,0.8072784543037415,0.0
E008,medium,benign_no_url,legitimate,phishing,legitimate,corrected_by_optimized,0.5193839192390441,0.484758324623108,0.865639865398407,0.0
M2043,medium,brand_impersonation_clean,phishing,phishing,phishing,both_correct,0.92,1.0,0.8611822128295898,0.8594892754527632
B2048,hard,benign_no_url_internal_notice,legitimate,legitimate,legitimate,both_correct,0.3009244680404663,0.25,0.5015407800674438,0.0
E2028,hard,no_url_text_dominant_malicious,phishing,phishing,phishing,both_correct,0.5002249360084533,0.66,0.8337082266807556,0.0
E2009,hard,mixed_urls_benign_plus_malicious,phishing,phishing,phishing,both_correct,0.568937489498768,0.78,0.8877246975898743,0.09075667736210863
M2036,hard,brand_impersonation_clean,phishing,phishing,phishing,both_correct,0.92,1.0,0.7515790462493896,0.8594892754527632
B2022,hard,password_reset_legit,legitimate,phishing,legitimate,corrected_by_optimized,0.5472266018390656,0.3860721492767335,0.7072716951370239,0.25
M001,easy,credential_harvest,phishing,phishing,phishing,both_correct,0.97,1.0,0.9495607018470764,0.88
B2037,medium,benign_no_url_internal_notice,legitimate,legitimate,legitimate,both_correct,0.3638059973716736,0.25,0.6063433289527893,0.0
B003,medium,bank_notification,legitimate,phishing,phishing,both_wrong,0.7822452855110168,0.7328695891241804,0.9611465930938721,0.7150624931627546
M007,medium,account_takeover,phishing,phishing,phishing,both_correct,0.6700075665568388,0.9047243840893691,0.6228393912315369,0.7407598295447917
B2050,medium,benign_no_url_internal_notice,legitimate,legitimate,legitimate,both_correct,0.44012836217880247,0.25,0.7335472702980042,0.0
B2033,hard,file_invite_official,legitimate,legitimate,legitimate,both_correct,0.31477275798689,0.26644296177204985,0.6731237769126892,0.021576469774872337
M011,easy,it_helpdesk_impersonation,phishing,phishing,legitimate,newly_broken_by_optimized,0.5764186953173445,0.5426939459773901,0.9136661887168884,0.07054745521802855
E2011,hard,malicious_text_with_official_url,phishing,phishing,phishing,both_correct,0.67028186917305,0.74,0.8965874910354614,0.25
E006,hard,malicious_email_clean_url,phishing,phishing,legitimate,newly_broken_by_optimized,0.5562901458857293,0.5220897215495129,0.8982943892478943,0.04328378084248199
E2004,hard,mixed_urls_benign_plus_malicious,phishing,phishing,phishing,both_correct,0.568937489498768,0.78,0.8877246975898743,0.09075667736210863
B002,easy,internal_meeting_variant,legitimate,legitimate,legitimate,both_correct,0.2385970860661028,0.29149648427494035,0.5030940771102905,0.02219045702994922
M009,medium,invoice_fraud,phishing,phishing,phishing,both_correct,0.5448703313675692,0.78,0.8067851066589355,0.15199816843051972
B024,medium,travel_confirmation_variant,legitimate,legitimate,legitimate,both_correct,0.4399973796310616,0.5388718284370576,0.9343696236610413,0.035510998151987334
B2053,medium,benign_no_url_internal_notice,legitimate,legitimate,legitimate,both_correct,0.44012836217880247,0.25,0.7335472702980042,0.0
M2019,medium,shared_doc_clean_phish,phishing,phishing,phishing,both_correct,0.5707859316123959,0.78,0.866112232208252,0.12779648071861183
B2026,hard,file_invite_official,legitimate,legitimate,legitimate,both_correct,0.2686697156227695,0.2090702868300332,0.5706725716590881,0.021576469774872337
B2003,medium,banking_alert_official,legitimate,phishing,phishing,both_wrong,0.6739521932601928,0.6395709250311629,0.7945418357849121,0.7150624931627546
B2006,hard,workspace_notice_official,legitimate,legitimate,legitimate,both_correct,0.24862743286871195,0.167457347858614,0.44277700781822205,0.08977778063729457
B2001,hard,password_reset_legit,legitimate,phishing,legitimate,corrected_by_optimized,0.6203864395618439,0.42,0.819825291633606,0.25
B2054,hard,benign_no_url_internal_notice,legitimate,legitimate,legitimate,both_correct,0.36229248046875,0.25,0.60382080078125,0.0
B2031,medium,banking_alert_official,legitimate,phishing,phishing,both_wrong,0.6650610965490341,0.6319109032492415,0.7808632254600525,0.7150624931627546
B2011,medium,shipping_update_official,legitimate,legitimate,legitimate,both_correct,0.43312547606446133,0.41245122037106985,0.9297541975975037,0.026792885719244795
M015,medium,benefits_portal_phish,phishing,phishing,phishing,both_correct,0.7981828264019748,0.9037386783742951,0.842624306678772,0.7315206059867788
B015,medium,it_notice,legitimate,legitimate,legitimate,both_correct,0.37087369069245213,0.3494005631930176,0.5856049656867981,0.04877677820093326
M2044,hard,brand_impersonation_clean,phishing,phishing,phishing,both_correct,0.92,0.9924758753014336,0.7515790462493896,0.7763445668222166
E007,hard,mixed_urls,phishing,legitimate,phishing,corrected_by_optimized,0.38989868578175824,0.84,0.5182496905326843,0.197372178655369
M023,easy,refund_scam,phishing,phishing,legitimate,newly_broken_by_optimized,0.585217266593846,0.5496287487406727,0.9411024451255798,0.051389498796245284
M005,easy,delivery_scam,phishing,phishing,phishing,both_correct,0.5118144197327908,0.78,0.794037401676178,0.08847994681771021
B2055,medium,benign_no_url_internal_notice,legitimate,legitimate,legitimate,both_correct,0.3638059973716736,0.25,0.6063433289527893,0.0
M012,easy,it_helpdesk_impersonation_variant,phishing,phishing,legitimate,newly_broken_by_optimized,0.5382317279444502,0.5070527764293554,0.850021243095398,0.07054745521802855
M2031,medium,brand_impersonation_clean,phishing,phishing,phishing,both_correct,0.92,1.0,0.8589566946029663,0.8424761231347812
B022,hard,file_share_legit_variant,legitimate,legitimate,legitimate,both_correct,0.34994259660639054,0.3042470159943715,0.7214646935462952,0.045969971837377666
B2025,hard,shipping_update_official,legitimate,legitimate,legitimate,both_correct,0.42827016812779295,0.4064090593832158,0.9189646244049072,0.026792885719244795
M2016,hard,brand_impersonation_clean,phishing,phishing,phishing,both_correct,0.7187996503830615,0.9526359781456719,0.680436372756958,0.7763445668222166
M2006,hard,shared_doc_clean_phish,phishing,phishing,phishing,both_correct,0.5446813670626903,0.78,0.8064078688621521,0.15209161436349786
M2008,hard,brand_impersonation_clean,phishing,phishing,phishing,both_correct,0.92,1.0,0.7515790462493896,0.8594892754527632
B2015,medium,password_reset_legit,legitimate,phishing,legitimate,corrected_by_optimized,0.6250570267438889,0.42,0.8270108103752136,0.25
B2034,hard,workspace_notice_official,legitimate,legitimate,legitimate,both_correct,0.2195940357305932,0.13132689808673287,0.3782583475112915,0.08977778063729457
B021,hard,file_share_legit,legitimate,legitimate,legitimate,both_correct,0.3422316480199266,0.29465116886454973,0.704329252243042,0.045969971837377666
E2019,hard,sender_brand_domain_mismatch,phishing,phishing,phishing,both_correct,0.68,0.78,0.7502358555793762,0.12779648071861183
M2005,medium,shared_doc_clean_phish,phishing,phishing,phishing,both_correct,0.4832451739562985,0.78,0.7202109694480896,0.12779648071861183
E2003,hard,mixed_urls_benign_plus_malicious,phishing,phishing,phishing,both_correct,0.568937489498768,0.78,0.8877246975898743,0.09075667736210863
B2045,hard,benign_no_url_internal_notice,legitimate,legitimate,legitimate,both_correct,0.36229248046875,0.25,0.60382080078125,0.0
M2034,hard,shared_doc_clean_phish,phishing,phishing,phishing,both_correct,0.5281848875514293,0.78,0.7789137363433838,0.15209161436349786
M2004,hard,brand_impersonation_clean,phishing,legitimate,phishing,corrected_by_optimized,0.445823201645527,0.78,0.6825342178344727,0.09075667736210863
B2032,medium,shipping_update_official,legitimate,legitimate,legitimate,both_correct,0.41026565236069545,0.38400343976193896,0.8789545893669128,0.026792885719244795
M2012,hard,shared_doc_clean_phish,phishing,phishing,phishing,both_correct,0.5020660200370785,0.78,0.7515790462493896,0.12779648071861183
